act,actor
advise,advisor
bake,baker
bank,banker
build,builder
buy,buyer
camp,camper
clean,cleaner
climb,climber
code,coder
cook,cooker
count,counter
create,creator
cut,cutter
cycle,cycler
dance,dancer
debate,debater
design,designer
dig,digger
direct,director
drive,driver
dry,dryer
eat,eater
edit,editor
examine,examiner
farm,farmer
fight,fighter
fish,fisher
fly,flyer
found,founder
game,gamer
garden,gardener
guard,guarder
guide,guide
help,helper
hunt,hunter
inspect,inspector
invent,inventor
juggle,juggler
jump,jumper
kill,killer
knit,knitter
lead,leader
learn,learner
lend,lender
listen,listener
love,lover
make,maker
manage,manager
measure,measurer
mix,mixer
model,modeller
organise,organiser
own,owner
pack,packer
paint,painter
photograph,photographer
play,player
print,printer
produce,producer
program,programmer
protect,protector
read,reader
report,reporter
rescue,rescuer
review,reviewer
ride,rider
run,runner
sail,sailor
save,saver
sculpt,sculptor
sell,seller
send,sender
serve,server
sing,singer
skate,skater
ski,skier
solve,solver
speak,speaker
surf,surfer
survive,survivor
swim,swimmer
talk,talker
teach,teacher
test,tester
think,thinker
trade,trader
train,trainer
travel,traveller
use,user
view,viewer
visit,visitor
walk,walker
wash,washer
win,winner
work,worker
write,writer
