bite,bit
bleed,bled
blow,blew
bring,brought
build,built
burn,burnt
buy,bought
catch,caught
choose,chose
come,came
cost,cost
cut,cut
do,did
die,died
draw,drew
drink,drank
drive,drove
eat,ate
fall,fell
feed,fed
feel,felt
find,found
fly,flew
forget,forgot
get,got
give,gave
go,went
grow,grew
have,had
hear,heard
hide,hid
hit,hit
hold,held
hug,hugged
keep,kept
know,knew
larp,larped
leave,left
let,let
lose,lost
make,made
meet,met
pay,paid
put,put
read,read
ride,rode
ring,rang
rise,rose
run,ran
say,said
see,saw
sell,sold
send,sent
shake,shook
shake,shook
shoot,shot
shrink,shrank
shut,shut
sing,sang
sit,sat
sleep,slept
slide,slid
speak,spoke
speak,spoke
spend,spent
stand,stood
steal,stole
strike,struck
swear,swore
swim,swam
take,took
teach,taught
tear,tore
tell,told
think,thought
throw,threw
understand,understood
wake,woke
wear,wore
win,won
write,wrote
