aircraft,aircraft
analysis,analyses
belief,beliefs
bison,bison
cactus,cacti
calf,calves
chef,chefs
chief,chiefs
child,children
cliff,cliffs
cod,cod
crisis,crises
criterion,criteria
deer,deer
diagnosis,diagnoses
elf,elves
fish,fish
focus,focuses
foot,feet
fungus,fungi
goose,geese
half,halves
hovercraft,hovercraft
knife,knives
leaf,leaves
life,lives
loaf,loaves
man,men
moose,moose
mouse,mice
nucleus,nuclei
oasis,oases
offspring,offspring
ox,oxen
phenomenon,phenomena
quiz,quizzes
roof,roofs
safe,safes
salmon,salmon
series,series
sheaf,sheaves
sheep,sheep
shelf,shelves
shrimp,shrimp
spacecraft,spacecraft
species,species
stimulus,stimuli
swine,swine
syllabus,syllabi
thesis,theses
thief,theves
tooth,teeth
trout,trout
wife,wives
wolf,wolves
woman,women
